招標類型,公告日期,機關名稱,標案案號,標案名稱,採購性質,截止投標,預算金額,連結
招標公告,115/06/04,國營臺灣鐵路股份有限公司富岡機廠,1150602N012,整流器單元用IGBT 65PC,財物類,115/06/10,"1,487,850",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzg1NTQ=
招標公告,115/05/26,國營臺灣鐵路股份有限公司富岡機廠,1150602N012,整流器單元用IGBT 65PC,財物類,115/06/02,"1,487,850",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzAwMjE=
招標公告,115/05/14,國營臺灣鐵路股份有限公司富岡機廠,1150512N010,IGBT 45PC,財物類,115/05/19,"1,279,152",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjA2Njg=
公開徵求,115/06/04,國營臺灣鐵路股份有限公司富岡機廠,1150602N012,整流器單元用IGBT 65PC,財物類,115/06/10,"1,487,850",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzg1NTQ=
公開徵求,115/05/26,國營臺灣鐵路股份有限公司富岡機廠,1150602N012,整流器單元用IGBT 65PC,財物類,115/06/02,"1,487,850",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzAwMjE=
公開徵求,115/05/14,國營臺灣鐵路股份有限公司富岡機廠,1150512N010,IGBT 45PC,財物類,115/05/19,"1,279,152",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjA2Njg=
公開閱覽,115/06/04,國營臺灣鐵路股份有限公司富岡機廠,1150602N012,整流器單元用IGBT 65PC,財物類,115/06/10,"1,487,850",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzg1NTQ=
公開閱覽,115/05/26,國營臺灣鐵路股份有限公司富岡機廠,1150602N012,整流器單元用IGBT 65PC,財物類,115/06/02,"1,487,850",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzAwMjE=
公開閱覽,115/05/14,國營臺灣鐵路股份有限公司富岡機廠,1150512N010,IGBT 45PC,財物類,115/05/19,"1,279,152",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjA2Njg=
政府採購預告,115/06/04,國營臺灣鐵路股份有限公司富岡機廠,1150602N012,整流器單元用IGBT 65PC,財物類,115/06/10,"1,487,850",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzg1NTQ=
政府採購預告,115/05/26,國營臺灣鐵路股份有限公司富岡機廠,1150602N012,整流器單元用IGBT 65PC,財物類,115/06/02,"1,487,850",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMzAwMjE=
政府採購預告,115/05/14,國營臺灣鐵路股份有限公司富岡機廠,1150512N010,IGBT 45PC,財物類,115/05/19,"1,279,152",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMjA2Njg=
